行区分,氏名,姓ふりがな,名ふりがな,姓ローマ字,名ローマ字,会派,選挙区,任期満了
,いんどう 周作[犬童 周作],いんどう,しゅうさく,indou,shuusaku,自民,比例,令和13年7月28日
,上田 勇,うえだ,いさむ,ueda,isamu,公明,比例,令和10年7月25日
,上田 清司,うえだ,きよし,ueda,kiyoshi,民主,埼玉,令和10年7月25日
,上野 通子,うえの,みちこ,ueno,michiko,自民,栃木,令和10年7月25日
,牛田 茉友[高橋 茉友],うしだ,まゆ,ushida,mayu,民主,東京,令和13年7月28日
,臼井 正一,うすい,しょういち,usui,shouichi,自民,千葉,令和10年7月25日
,打越 さく良[村木 さく良],うちこし,さくら,uchikoshi,sakura,立憲,新潟,令和13年7月28日
,梅村 みずほ,うめむら,みずほ,umemura,mizuho,参政,比例,令和13年7月28日
,江島 潔,えじま,きよし,ejima,kiyoshi,自民,山口,令和10年7月25日
,江原 くみ子[江原 久美子],えはら,くみこ,ehara,kumiko,民主,埼玉,令和13年7月28日
,大家 敏志,おおいえ,さとし,ooie,satoshi,自民,福岡,令和10年7月25日
,大島 九州男,おおしま,くすお,ooshima,kusuo,れ新,比例,令和10年7月25日
,大津 力,おおつ,つとむ,ootsu,tsutomu,参政,埼玉,令和13年7月28日
,岡崎 太,おかざき,ふとし,okazaki,futoshi,維新,大阪,令和13年7月28日
,岡田 直樹,おかだ,なおき,okada,naoki,自民,石川,令和10年7月25日
,小川 克巳,おがわ,かつみ,ogawa,katsumi,自民,比例,令和10年7月25日
,奥田 ふみよ[遠藤 芙美代],おくだ,ふみよ,okuda,fumiyo,れ新,比例,令和13年7月28日
,奥村 祥大,おくむら,よしひろ,okumura,yoshihiro,民主,東京,令和13年7月28日
,小沢 雅仁,おざわ,まさひと,ozawa,masahito,立憲,比例,令和13年7月28日
,越智 俊之,おち,としゆき,ochi,toshiyuki,自民,比例,令和10年7月25日
,尾辻 朋実[末原 朋実],おつじ,ともみ,otsuji,tomomi,無所属,鹿児島,令和13年7月28日
,鬼木 誠,おにき,まこと,oniki,makoto,立憲,比例,令和10年7月25日
,小野田 紀美,おのだ,きみ,onoda,kimi,自民,岡山,令和10年7月25日
,かごしま 彰宏[籠島 彰宏],かごしま,あきひろ,kagoshima,akihiro,民主,神奈川,令和13年7月28日
,梶原 大介,かじはら,だいすけ,kajihara,daisuke,自民,比例,令和10年7月25日
,加田 裕之,かだ,ひろゆき,kada,hiroyuki,自民,兵庫,令和13年7月28日
,嘉田 由紀子,かだ,ゆきこ,kada,yukiko,維新,比例,令和13年7月28日
,片山 さつき,かたやま,さつき,katayama,satsuki,自民,比例,令和10年7月25日
,片山 大介,かたやま,だいすけ,katayama,daisuke,維新,兵庫,令和10年7月25日
,勝部 賢志,かつべ,けんじ,katsube,kenji,立憲,北海道,令和13年7月28日
,加藤 明良,かとう,あきよし,katou,akiyoshi,自民,茨城,令和10年7月25日
,金子 道仁,かねこ,みちひと,kaneko,michihito,維新,比例,令和10年7月25日
,かまやち 敏[釜萢 敏],かまやち,さとし,kamayachi,satoshi,自民,比例,令和13年7月28日
,神谷 宗幣,かみや,そうへい,kamiya,souhei,参政,比例,令和10年7月25日
,神谷 政幸,かみや,まさゆき,kamiya,masayuki,自民,比例,令和10年7月25日
,川合 孝典,かわい,たかのり,kawai,takanori,民主,比例,令和10年7月25日
,川村 雄大,かわむら,ゆうだい,kawamura,yuudai,公明,東京,令和13年7月28日
,岸 真紀子,きし,まきこ,kishi,makiko,立憲,比例,令和13年7月28日
,北村 経夫,きたむら,つねお,kitamura,tsuneo,自民,山口,令和13年7月28日
,北村 晴男,きたむら,はるお,kitamura,haruo,保守,比例,令和13年7月28日
,木戸口 英司,きどぐち,えいじ,kidoguchi,eiji,立憲,岩手,令和10年7月25日
,木村 英子,きむら,えいこ,kimura,eiko,れ新,比例,令和13年7月28日
,吉良 よし子[吉良 佳子],きら,よしこ,kira,yoshiko,共産,東京,令和13年7月28日
,串田 誠一,くしだ,せいいち,kushida,seiichi,維新,比例,令和10年7月25日
,窪田 哲也,くぼた,てつや,kubota,tetsuya,公明,比例,令和10年7月25日
,熊谷 裕人,くまがい,ひろと,kumagai,hiroto,立憲,埼玉,令和13年7月28日
,見坂 茂範,けんざか,しげのり,kenzaka,shigenori,自民,比例,令和13年7月28日
,小池 晃,こいけ,あきら,koike,akira,共産,比例,令和13年7月28日
,上月 良祐,こうづき,りょうすけ,kouzuki,ryousuke,自民,茨城,令和13年7月28日
